NT_GER,QE_I01,QE_I04,QE_I05,QE_I08,QE_I09,QE_I15
27.4,Solteiro(a),Médio,Fundamental II,A,B,Sem Cotas
22.3,Solteiro(a),Médio,Fundamental I,A,B,Ensino Público
50.6,Solteiro(a),Superior,Pós-graduação,B,B,Ensino Público
52.5,Solteiro(a),Fundamental II,Fundamental I,F,C,Sem Cotas
29.1,Solteiro(a),Nenhuma,Médio,B,B,Renda
40.4,Solteiro(a),Médio,Médio,A,B,Ensino Público
61.1,Solteiro(a),Superior,Superior,B,D,Sem Cotas
37.8,Solteiro(a),Fundamental II,Superior,B,B,Sem Cotas
48.8,Solteiro(a),Fundamental II,Médio,C,C,Sem Cotas
39.8,Solteiro(a),Médio,Médio,C,E,Sem Cotas
26.8,Solteiro(a),Fundamental I,Médio,A,B,Ensino Público
52.0,Solteiro(a),Médio,Fundamental II,B,D,Renda
55.7,Solteiro(a),Médio,Superior,E,D,Sem Cotas
33.5,Casado(a),Fundamental I,Fundamental I,B,A,Sem Cotas
32.1,Solteiro(a),Médio,Médio,B,B,Sem Cotas
45.5,Solteiro(a),Fundamental II,Fundamental II,B,E,Sem Cotas
40.8,Casado(a),Fundamental I,Médio,A,F,Sem Cotas
30.5,Solteiro(a),Fundamental I,Superior,B,B,Ensino Público
30.5,Solteiro(a),Médio,Fundamental I,A,A,Sem Cotas
55.7,Solteiro(a),Pós-graduação,Pós-graduação,E,B,Sem Cotas
27.4,Solteiro(a),Fundamental II,Médio,C,E,2 ou mais critérios
66.0,Solteiro(a),Médio,Superior,B,B,Sem Cotas
39.8,Solteiro(a),Fundamental II,Pós-graduação,B,F,Sem Cotas
40.0,Solteiro(a),Pós-graduação,Superior,E,C,Sem Cotas
41.9,Solteiro(a),Pós-graduação,Pós-graduação,D,B,Sem Cotas
35.4,Solteiro(a),Pós-graduação,Pós-graduação,E,C,Sem Cotas
29.8,Solteiro(a),Nenhuma,Médio,A,C,Sem Cotas
28.8,Solteiro(a),Médio,Superior,E,C,Sem Cotas
23.3,Divorciado(a),Fundamental I,Fundamental II,C,C,Sem Cotas
28.5,Solteiro(a),Fundamental I,Fundamental I,B,E,Ensino Público
19.6,Casado(a),Médio,Fundamental II,A,E,Sem Cotas
25.9,Solteiro(a),Fundamental II,Fundamental II,B,D,Renda
31.9,Solteiro(a),Médio,Superior,D,D,Sem Cotas
43.0,Casado(a),Médio,Médio,D,E,Sem Cotas
33.9,Casado(a),Médio,Pós-graduação,A,A,Sem Cotas
54.8,Casado(a),Nenhuma,Médio,B,F,Sem Cotas
40.8,Casado(a),Médio,Médio,B,F,Sem Cotas
31.9,Solteiro(a),Superior,Médio,C,F,Sem Cotas
30.7,Casado(a),Fundamental I,Médio,A,B,Sem Cotas
24.6,Divorciado(a),Fundamental I,Fundamental II,A,A,Sem Cotas
26.5,Solteiro(a),Médio,Fundamental II,B,B,Sem Cotas
48.0,Solteiro(a),Médio,Pós-graduação,E,C,Sem Cotas
35.1,Solteiro(a),Fundamental I,Médio,A,B,Ensino Público
61.7,Solteiro(a),Médio,Médio,D,B,Sem Cotas
54.4,Solteiro(a),Médio,Médio,D,C,Sem Cotas
35.8,Casado(a),Fundamental II,Médio,A,C,Sem Cotas
38.0,Outro,Superior,Superior,E,B,Sem Cotas
49.8,Casado(a),Fundamental II,Médio,B,F,Ensino Público
53.3,Divorciado(a),Médio,Médio,A,B,Sem Cotas
57.6,Solteiro(a),Superior,Superior,D,D,Sem Cotas
52.8,Casado(a),Superior,Médio,B,F,Étnico-racial
46.6,Casado(a),Médio,Fundamental I,B,E,Ensino Público
48.2,Solteiro(a),Pós-graduação,Superior,E,B,Sem Cotas
64.1,Solteiro(a),Médio,Médio,B,B,Étnico-racial
69.7,Solteiro(a),Médio,Médio,E,B,Sem Cotas
37.5,Solteiro(a),Médio,Médio,A,B,Sem Cotas
58.6,Solteiro(a),Superior,Superior,B,C,Sem Cotas
42.1,Solteiro(a),Fundamental I,Nenhuma,A,B,Ensino Público
48.9,Casado(a),Médio,Médio,C,E,Sem Cotas
28.2,Solteiro(a),Nenhuma,Fundamental I,B,B,Sim - ?
61.5,Solteiro(a),Superior,Médio,A,C,Sem Cotas
51.8,Solteiro(a),Fundamental II,Superior,C,B,Sem Cotas
56.0,Solteiro(a),Pós-graduação,Pós-graduação,C,B,Sem Cotas
49.6,Solteiro(a),Fundamental I,Superior,C,B,2 ou mais critérios
59.4,Solteiro(a),Médio,Fundamental II,B,C,Sem Cotas
63.4,Solteiro(a),Médio,Médio,A,C,Ensino Público
63.7,Solteiro(a),Fundamental I,Médio,B,B,Ensino Público
44.2,Casado(a),Médio,Pós-graduação,B,C,Ensino Público
61.4,Solteiro(a),Superior,Médio,E,C,Sem Cotas
33.5,Casado(a),Fundamental II,Médio,A,B,Ensino Público
51.4,Solteiro(a),Pós-graduação,Superior,B,B,Ensino Público
30.5,Solteiro(a),Médio,Superior,C,C,Sem Cotas
33.2,Solteiro(a),Médio,Fundamental I,B,C,Sem Cotas
24.4,Solteiro(a),Médio,Fundamental I,A,A,Ensino Público
47.8,Solteiro(a),Nenhuma,Nenhuma,A,B,Sem Cotas
35.7,Casado(a),Fundamental I,Fundamental I,B,E,Sem Cotas
44.2,Solteiro(a),Nenhuma,Fundamental II,A,D,Ensino Público
29.6,Divorciado(a),Fundamental I,Fundamental I,B,E,Ensino Público
60.3,Solteiro(a),Médio,Médio,A,D,Sem Cotas
30.0,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
36.9,Divorciado(a),Médio,Superior,A,F,Sem Cotas
31.7,Solteiro(a),Fundamental I,Nenhuma,B,E,Sem Cotas
22.7,Outro,Superior,Médio,A,B,Sem Cotas
26.6,Solteiro(a),Fundamental II,Médio,A,B,Ensino Público
54.0,Solteiro(a),Médio,Fundamental II,B,B,Sem Cotas
34.9,Viúvo(a),Fundamental I,Fundamental I,A,F,Sem Cotas
32.2,Divorciado(a),Fundamental II,Médio,A,D,Ensino Público
35.3,Casado(a),Fundamental I,Superior,A,A,Sem Cotas
38.3,Solteiro(a),Fundamental I,Fundamental II,A,B,Étnico-racial
38.2,Solteiro(a),Fundamental I,Fundamental I,C,C,Ensino Público
19.7,Casado(a),Nenhuma,Fundamental I,A,B,Sem Cotas
48.0,Casado(a),Superior,Fundamental II,A,B,Sem Cotas
33.0,Solteiro(a),Fundamental I,Fundamental II,A,C,Sem Cotas
41.4,Casado(a),Nenhuma,Fundamental I,B,D,Sem Cotas
27.4,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
32.8,Solteiro(a),Fundamental II,Médio,A,B,Sem Cotas
25.1,Solteiro(a),Fundamental I,Fundamental II,A,C,Renda
50.2,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
33.0,Solteiro(a),Superior,Superior,B,E,Sem Cotas
51.7,Solteiro(a),Médio,Fundamental II,B,B,Sem Cotas
46.3,Casado(a),Nenhuma,Fundamental II,B,D,Ensino Público
72.8,Solteiro(a),Médio,Fundamental I,B,B,Sem Cotas
24.6,Casado(a),Nenhuma,Nenhuma,B,F,Sem Cotas
58.4,Solteiro(a),Fundamental II,Médio,C,B,Sem Cotas
36.4,Solteiro(a),Fundamental I,Superior,A,B,Sem Cotas
43.5,Solteiro(a),Nenhuma,Fundamental I,A,F,Sem Cotas
41.0,Solteiro(a),Fundamental I,Fundamental I,A,A,2 ou mais critérios
33.1,Solteiro(a),Nenhuma,Nenhuma,D,C,Ensino Público
24.6,Solteiro(a),Nenhuma,Fundamental I,B,F,Sem Cotas
48.9,Solteiro(a),Médio,Médio,B,E,Sem Cotas
17.3,Solteiro(a),Médio,Médio,B,B,Sim - ?
40.0,Solteiro(a),Fundamental II,Fundamental II,A,B,Sem Cotas
39.5,Solteiro(a),Médio,Médio,A,B,Sem Cotas
27.2,Solteiro(a),Nenhuma,Nenhuma,A,C,Sim - ?
58.4,Solteiro(a),Fundamental I,Fundamental I,A,B,Sim - ?
40.8,Solteiro(a),Fundamental I,Fundamental I,C,C,Ensino Público
75.0,Solteiro(a),Fundamental I,Fundamental I,B,E,Ensino Público
35.1,Solteiro(a),Nenhuma,Fundamental I,A,F,Sem Cotas
56.5,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
39.0,Outro,Fundamental I,Fundamental II,B,C,Sem Cotas
47.5,Casado(a),Fundamental I,Fundamental II,A,E,Sem Cotas
64.5,Solteiro(a),Fundamental I,Fundamental I,B,E,Sem Cotas
40.2,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
49.8,Casado(a),Superior,Médio,B,D,Sem Cotas
37.1,Solteiro(a),Fundamental I,Fundamental I,B,E,Sem Cotas
38.4,Divorciado(a),Médio,Superior,C,B,2 ou mais critérios
48.3,Solteiro(a),Nenhuma,Médio,A,B,Sem Cotas
44.5,,,,,,
25.9,Solteiro(a),Superior,Médio,A,B,Sem Cotas
40.2,Solteiro(a),Fundamental II,Médio,A,B,Sem Cotas
59.3,Solteiro(a),Superior,Médio,B,B,Sem Cotas
21.9,Solteiro(a),Pós-graduação,Superior,B,E,Sem Cotas
49.1,Casado(a),Médio,Fundamental II,A,E,Sem Cotas
60.5,Solteiro(a),Médio,Superior,C,B,Ensino Público
67.7,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
27.9,Casado(a),Fundamental II,Fundamental II,B,E,Sem Cotas
51.5,Solteiro(a),Médio,Médio,A,B,Sem Cotas
33.7,Casado(a),Fundamental II,Médio,C,E,Sem Cotas
25.0,Casado(a),Superior,Médio,C,C,Sem Cotas
43.5,Solteiro(a),Fundamental I,Médio,C,E,Sem Cotas
34.3,Solteiro(a),Médio,Médio,B,B,Sem Cotas
44.7,Casado(a),Médio,Superior,B,E,Ensino Público
43.9,Casado(a),Médio,Médio,B,E,Sem Cotas
21.3,Casado(a),Médio,Médio,C,C,Sem Cotas
53.2,Outro,Fundamental II,Médio,C,C,Sem Cotas
32.5,Casado(a),Médio,Médio,B,D,Sem Cotas
39.8,Casado(a),Nenhuma,Fundamental I,C,F,Sem Cotas
47.3,Solteiro(a),Fundamental I,Fundamental II,B,B,Sem Cotas
62.1,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
43.0,Solteiro(a),Fundamental I,Fundamental II,A,A,Sem Cotas
43.8,Solteiro(a),Fundamental I,Superior,A,A,Sem Cotas
45.7,Solteiro(a),Nenhuma,Pós-graduação,B,E,Sem Cotas
37.1,Solteiro(a),Médio,Superior,C,B,Sem Cotas
69.6,Solteiro(a),Nenhuma,Fundamental I,B,E,Ensino Público
32.6,Solteiro(a),Fundamental I,Pós-graduação,B,B,2 ou mais critérios
47.3,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
41.4,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
45.5,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
43.5,Solteiro(a),Médio,Superior,A,B,Sem Cotas
57.3,Solteiro(a),Nenhuma,Fundamental I,A,C,Sem Cotas
44.2,Solteiro(a),Fundamental I,Fundamental I,A,B,Ensino Público
39.2,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
51.4,Solteiro(a),Médio,Fundamental I,A,C,Ensino Público
38.9,Divorciado(a),Fundamental I,Médio,C,A,Ensino Público
40.5,Solteiro(a),Fundamental I,Fundamental I,A,A,Sem Cotas
55.9,Casado(a),Fundamental I,Fundamental I,A,B,Renda
49.8,Solteiro(a),Fundamental I,Fundamental II,A,C,Sem Cotas
33.8,Solteiro(a),Médio,Superior,B,B,Sem Cotas
45.2,Solteiro(a),Fundamental I,Médio,A,B,Ensino Público
49.4,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
49.0,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
55.5,Solteiro(a),Fundamental I,Fundamental II,B,C,Sem Cotas
35.0,Casado(a),Médio,Superior,F,C,Sem Cotas
27.0,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
41.0,Solteiro(a),Fundamental I,Médio,B,A,Renda
46.0,Solteiro(a),Superior,Médio,C,B,Sem Cotas
38.6,Solteiro(a),Fundamental I,Médio,C,C,Sem Cotas
40.7,Divorciado(a),Fundamental II,Pós-graduação,B,B,2 ou mais critérios
24.4,Solteiro(a),Fundamental I,Fundamental I,A,F,Sem Cotas
43.2,Solteiro(a),Médio,Médio,A,F,Sem Cotas
29.3,Divorciado(a),Médio,Pós-graduação,B,F,Sem Cotas
36.6,Solteiro(a),Fundamental I,Médio,B,E,Sem Cotas
31.7,Casado(a),Superior,Superior,C,E,Sem Cotas
30.4,Casado(a),Fundamental I,Fundamental II,C,E,Sem Cotas
18.1,Solteiro(a),Superior,Pós-graduação,F,D,Sem Cotas
37.4,Solteiro(a),Médio,Fundamental II,B,A,Sem Cotas
22.4,Casado(a),Fundamental I,Fundamental I,B,A,Sem Cotas
40.6,Solteiro(a),Superior,Pós-graduação,D,D,Sem Cotas
31.2,Solteiro(a),Superior,Superior,D,F,Sem Cotas
40.0,Casado(a),Fundamental I,Médio,B,E,Sem Cotas
33.5,Casado(a),Fundamental I,Superior,C,C,Sem Cotas
46.4,Solteiro(a),Superior,Médio,F,A,Sem Cotas
34.1,Solteiro(a),Médio,Superior,B,D,Renda
47.5,Solteiro(a),Médio,Superior,B,A,Sem Cotas
28.2,Solteiro(a),Fundamental II,Fundamental II,C,D,Ensino Público
51.9,Solteiro(a),Superior,Fundamental I,A,A,Renda
23.2,Solteiro(a),Nenhuma,Nenhuma,A,A,Ensino Público
48.8,Solteiro(a),Médio,Médio,A,B,Sem Cotas
32.6,Solteiro(a),Médio,Fundamental I,B,A,Sem Cotas
33.6,Solteiro(a),Fundamental II,Fundamental II,C,B,Sem Cotas
41.2,Solteiro(a),Fundamental II,Médio,B,C,Sem Cotas
18.2,Solteiro(a),Médio,Médio,B,C,Sem Cotas
21.6,Casado(a),Médio,Superior,D,E,Sem Cotas
46.0,Solteiro(a),Médio,Superior,C,A,Sem Cotas
41.9,Solteiro(a),Médio,Pós-graduação,C,B,Sem Cotas
17.7,Casado(a),Médio,Médio,A,A,Sem Cotas
55.6,Solteiro(a),Fundamental II,Superior,C,B,Sem Cotas
29.3,Casado(a),Fundamental I,Fundamental I,B,C,Renda
54.1,Solteiro(a),Superior,Médio,A,A,Renda
44.6,Solteiro(a),Fundamental II,Fundamental I,C,E,Sem Cotas
42.5,Casado(a),Fundamental II,Fundamental II,C,C,Sem Cotas
31.5,Divorciado(a),Superior,Superior,E,E,Sem Cotas
30.3,Solteiro(a),Médio,Médio,B,E,Sem Cotas
33.1,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
35.2,Solteiro(a),Médio,Médio,B,E,Sem Cotas
35.4,Casado(a),Superior,Pós-graduação,B,E,Sem Cotas
58.5,Solteiro(a),Médio,Superior,A,C,Sem Cotas
44.4,Solteiro(a),Superior,Fundamental II,C,A,Sem Cotas
59.1,Solteiro(a),Médio,Médio,F,D,Sem Cotas
23.3,Casado(a),Pós-graduação,Médio,C,B,Sem Cotas
51.3,Divorciado(a),Fundamental I,Fundamental I,A,F,Sem Cotas
43.1,Casado(a),Médio,Médio,D,D,Sem Cotas
24.1,Divorciado(a),Fundamental I,Fundamental I,E,E,Sem Cotas
44.3,Solteiro(a),Fundamental II,Fundamental II,B,B,Sem Cotas
39.5,Casado(a),Fundamental I,Fundamental II,B,E,Renda
34.4,Solteiro(a),Médio,Médio,A,C,Sim - ?
50.8,Casado(a),Fundamental II,Fundamental II,A,C,Sem Cotas
25.8,Casado(a),Superior,Fundamental II,C,F,Sem Cotas
38.1,Casado(a),Médio,Superior,C,F,Sem Cotas
36.7,Solteiro(a),Médio,Médio,A,C,Sem Cotas
36.2,Solteiro(a),Médio,Médio,B,C,Sem Cotas
47.3,Solteiro(a),Superior,Superior,B,C,Sem Cotas
29.6,Solteiro(a),Superior,Pós-graduação,B,B,Ensino Público
30.3,Solteiro(a),Superior,Médio,C,A,Sem Cotas
39.4,Casado(a),Fundamental I,Fundamental I,C,F,Sem Cotas
27.6,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
29.8,Solteiro(a),Superior,Superior,B,C,Sem Cotas
31.0,Solteiro(a),Médio,Médio,C,C,Sem Cotas
31.9,Solteiro(a),Fundamental I,Fundamental I,D,A,Sem Cotas
50.4,Solteiro(a),Médio,Médio,C,E,Sem Cotas
33.6,Solteiro(a),Fundamental I,Médio,B,B,Sem Cotas
27.2,Solteiro(a),Médio,Médio,A,B,Sem Cotas
48.1,Casado(a),Superior,Médio,A,A,Sem Cotas
45.7,Casado(a),Médio,Pós-graduação,E,F,Sem Cotas
30.1,Casado(a),Nenhuma,Fundamental II,C,E,Sem Cotas
39.3,Casado(a),Médio,Nenhuma,A,F,Sem Cotas
33.9,Solteiro(a),Médio,Médio,E,E,Sem Cotas
45.6,Solteiro(a),Pós-graduação,Pós-graduação,C,B,Sem Cotas
32.1,Solteiro(a),Fundamental II,Pós-graduação,D,A,Sem Cotas
33.5,Solteiro(a),Médio,Médio,B,B,Sem Cotas
40.1,Casado(a),Nenhuma,Fundamental I,B,E,Renda
60.9,Casado(a),Nenhuma,Superior,B,F,Sem Cotas
60.3,Solteiro(a),Pós-graduação,Pós-graduação,E,B,Sem Cotas
57.4,Solteiro(a),Superior,Superior,B,B,Sem Cotas
31.3,Casado(a),Médio,Médio,C,E,Sem Cotas
35.1,Solteiro(a),Pós-graduação,Pós-graduação,C,A,Sem Cotas
36.9,Casado(a),Médio,Médio,B,E,Sem Cotas
74.9,Casado(a),Pós-graduação,Superior,E,C,Sem Cotas
44.9,Casado(a),Médio,Superior,B,C,2 ou mais critérios
35.3,Casado(a),Fundamental I,Médio,A,C,Sem Cotas
51.3,Casado(a),Fundamental I,Médio,B,F,Sem Cotas
25.6,Solteiro(a),Pós-graduação,Superior,D,B,Sem Cotas
48.7,Solteiro(a),Fundamental I,Superior,C,C,Sem Cotas
50.1,Solteiro(a),Superior,Médio,C,E,Sem Cotas
21.1,Solteiro(a),Médio,Médio,D,C,Renda
38.7,Casado(a),Pós-graduação,Superior,D,E,Sem Cotas
38.2,Solteiro(a),Fundamental I,Nenhuma,B,C,Sem Cotas
26.3,Solteiro(a),Médio,Médio,B,D,Sem Cotas
31.2,Casado(a),Superior,Médio,A,F,Sem Cotas
30.5,Solteiro(a),Superior,Médio,A,F,Renda
39.5,Casado(a),Médio,Médio,B,D,Sem Cotas
39.2,Solteiro(a),Superior,Médio,B,C,Ensino Público
49.3,Solteiro(a),Fundamental II,Fundamental I,B,E,Sem Cotas
29.0,Casado(a),Médio,Pós-graduação,F,D,Sem Cotas
32.7,Solteiro(a),Médio,Superior,A,D,Étnico-racial
42.0,Casado(a),Fundamental II,Fundamental I,B,E,Sem Cotas
34.8,Casado(a),Médio,Superior,D,C,Sem Cotas
29.9,Solteiro(a),Médio,Médio,A,E,Sem Cotas
34.2,Solteiro(a),Fundamental II,Médio,A,B,Sem Cotas
26.8,,,,,,
37.4,Solteiro(a),Médio,Superior,B,E,Sem Cotas
64.7,Solteiro(a),Superior,Superior,F,B,Sem Cotas
45.5,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
31.6,Solteiro(a),Fundamental I,Superior,A,E,Sem Cotas
47.8,Solteiro(a),Médio,Fundamental II,A,A,Sem Cotas
46.8,Solteiro(a),Fundamental II,Fundamental II,A,A,Sem Cotas
74.0,Casado(a),Fundamental II,Fundamental II,A,C,Sem Cotas
26.5,,,,,,
34.9,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
40.9,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
59.0,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
69.1,Casado(a),Pós-graduação,Superior,D,B,Sem Cotas
41.2,Solteiro(a),Nenhuma,Fundamental I,A,B,Ensino Público
51.2,Solteiro(a),Superior,Médio,E,B,Sem Cotas
58.0,Solteiro(a),Médio,Fundamental I,B,A,Sem Cotas
31.6,Casado(a),Nenhuma,Fundamental I,A,C,Sem Cotas
41.1,Solteiro(a),Nenhuma,Fundamental I,A,C,Sem Cotas
56.1,Solteiro(a),Médio,Pós-graduação,D,B,Sem Cotas
44.4,Solteiro(a),Fundamental I,Médio,B,B,Sem Cotas
41.7,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
67.7,Solteiro(a),Fundamental II,Médio,E,B,Sem Cotas
62.6,Solteiro(a),Superior,Médio,B,B,Sem Cotas
49.0,Solteiro(a),Superior,Médio,B,C,Sem Cotas
68.5,Solteiro(a),Fundamental II,Médio,A,C,Sem Cotas
68.7,Solteiro(a),Médio,Pós-graduação,E,B,Sem Cotas
50.7,Solteiro(a),Fundamental I,Fundamental II,A,B,Sem Cotas
84.0,Divorciado(a),Pós-graduação,Médio,D,E,Sem Cotas
61.4,Solteiro(a),Médio,Pós-graduação,B,C,Sem Cotas
61.9,Solteiro(a),Fundamental I,Médio,C,E,Ensino Público
41.7,Solteiro(a),Médio,Fundamental II,A,B,Ensino Público
40.8,Solteiro(a),Fundamental I,Fundamental II,B,D,Sem Cotas
54.6,Solteiro(a),Superior,Médio,B,C,Sem Cotas
62.2,Casado(a),Fundamental I,Médio,A,C,Sem Cotas
39.7,Solteiro(a),Superior,Médio,A,D,Sem Cotas
55.6,Solteiro(a),Médio,Fundamental I,E,D,Sem Cotas
13.3,Casado(a),Fundamental II,Médio,C,E,Sem Cotas
26.5,Casado(a),Médio,Médio,F,E,Sem Cotas
41.2,Solteiro(a),Médio,Pós-graduação,B,C,Sem Cotas
32.7,Casado(a),Médio,Fundamental II,B,C,Sem Cotas
24.1,Casado(a),Fundamental I,Fundamental I,B,F,Sem Cotas
25.2,Solteiro(a),Médio,Médio,C,D,Ensino Público
62.5,,,,,,
29.0,Solteiro(a),Médio,Fundamental I,B,E,Ensino Público
45.7,Solteiro(a),Fundamental II,Pós-graduação,B,A,Ensino Público
59.6,Solteiro(a),Nenhuma,Nenhuma,A,A,Sem Cotas
29.9,Casado(a),Médio,Médio,E,F,Sem Cotas
48.3,Solteiro(a),Médio,Médio,B,B,Sem Cotas
65.4,Casado(a),Superior,Superior,D,E,Sem Cotas
44.3,Solteiro(a),Médio,Médio,D,C,Sem Cotas
31.2,Casado(a),Fundamental I,Fundamental II,C,E,Sem Cotas
77.9,Casado(a),Médio,Médio,C,F,Sem Cotas
39.2,Solteiro(a),Pós-graduação,Pós-graduação,C,D,Sem Cotas
29.9,Casado(a),Fundamental I,Fundamental I,C,C,Sem Cotas
63.6,Solteiro(a),Nenhuma,Nenhuma,F,B,Sem Cotas
24.2,Solteiro(a),Fundamental I,Superior,A,C,Ensino Público
40.1,Solteiro(a),Nenhuma,Fundamental I,A,C,Sem Cotas
65.6,Casado(a),Médio,Médio,C,C,Sem Cotas
36.9,Casado(a),Médio,Fundamental II,F,E,Ensino Público
28.4,Solteiro(a),Fundamental I,Fundamental I,B,B,Sem Cotas
27.9,Solteiro(a),Nenhuma,Fundamental II,A,A,Sem Cotas
22.7,Casado(a),Nenhuma,Fundamental II,B,F,Sem Cotas
41.5,Casado(a),Superior,Superior,A,F,Sem Cotas
60.3,Solteiro(a),Superior,Superior,B,B,Sem Cotas
52.2,Solteiro(a),Médio,Médio,A,E,Sem Cotas
34.6,Casado(a),Fundamental I,Fundamental I,B,F,Sem Cotas
57.7,Casado(a),Fundamental I,Médio,C,F,Sem Cotas
26.7,Solteiro(a),Fundamental I,Nenhuma,A,A,Ensino Público
45.4,Solteiro(a),Fundamental I,Médio,B,E,Sem Cotas
29.3,Solteiro(a),Fundamental I,Nenhuma,A,D,Sem Cotas
36.0,Solteiro(a),Médio,Médio,A,C,Sem Cotas
36.7,Casado(a),Médio,Fundamental I,B,F,Sem Cotas
29.9,Solteiro(a),Médio,Médio,C,F,Sem Cotas
24.2,Casado(a),Médio,Pós-graduação,A,A,Ensino Público
79.0,Solteiro(a),Superior,Superior,B,C,Sem Cotas
40.6,Casado(a),Médio,Médio,A,C,Sem Cotas
52.8,Solteiro(a),Fundamental I,Fundamental I,A,F,Renda
36.6,Solteiro(a),Médio,Médio,A,A,Étnico-racial
49.1,Solteiro(a),Fundamental I,Superior,B,B,Renda
49.1,Solteiro(a),Fundamental I,Médio,B,A,Sem Cotas
32.4,Solteiro(a),Nenhuma,Fundamental I,A,B,2 ou mais critérios
36.2,Solteiro(a),Fundamental I,Fundamental I,A,A,Ensino Público
37.6,Solteiro(a),Fundamental II,Médio,B,B,Sem Cotas
28.8,Solteiro(a),Fundamental I,Fundamental I,B,A,Sem Cotas
48.1,Casado(a),Fundamental I,Médio,A,C,Ensino Público
47.5,Solteiro(a),Fundamental I,Fundamental I,A,B,Étnico-racial
44.4,Outro,Fundamental II,Superior,A,B,Sem Cotas
27.8,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
44.8,Casado(a),Fundamental I,Médio,B,A,Ensino Público
48.2,Solteiro(a),Fundamental I,Fundamental II,A,B,Sem Cotas
53.3,Solteiro(a),Fundamental I,Fundamental I,C,B,Sem Cotas
32.6,Solteiro(a),Fundamental I,Superior,B,A,Sem Cotas
44.9,Solteiro(a),Fundamental I,Fundamental I,B,D,Sem Cotas
37.7,Solteiro(a),Fundamental I,Fundamental I,B,C,Sem Cotas
41.2,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
43.4,Solteiro(a),Médio,Médio,A,C,Sem Cotas
54.1,Solteiro(a),Fundamental II,Superior,A,C,Sem Cotas
54.9,Solteiro(a),Fundamental II,Fundamental II,A,B,Étnico-racial
50.5,Solteiro(a),Pós-graduação,Superior,D,B,Sem Cotas
26.9,Solteiro(a),Nenhuma,Nenhuma,A,A,Ensino Público
33.6,Solteiro(a),Médio,Fundamental II,A,A,Sem Cotas
44.3,Solteiro(a),Fundamental I,Fundamental I,A,E,Sem Cotas
45.2,Solteiro(a),Fundamental II,Fundamental II,A,B,Sem Cotas
30.5,Solteiro(a),Fundamental I,Médio,A,A,Renda
54.2,Solteiro(a),Fundamental I,Médio,A,A,2 ou mais critérios
48.6,Solteiro(a),Pós-graduação,Médio,A,A,Sem Cotas
61.5,Solteiro(a),Médio,Fundamental II,A,A,2 ou mais critérios
46.9,Solteiro(a),Médio,Médio,A,B,Sem Cotas
40.2,Solteiro(a),Fundamental II,Fundamental II,A,A,Sem Cotas
63.8,Casado(a),Nenhuma,Fundamental I,A,A,Sem Cotas
62.6,Solteiro(a),Nenhuma,Fundamental I,A,B,Sem Cotas
54.5,Solteiro(a),Médio,Superior,B,B,Sem Cotas
46.2,Solteiro(a),Fundamental II,Médio,A,E,Sem Cotas
46.7,Solteiro(a),Médio,Médio,A,A,Sem Cotas
38.5,Solteiro(a),Médio,Fundamental I,A,C,Sem Cotas
45.6,Solteiro(a),Fundamental II,Superior,A,C,Ensino Público
60.3,Solteiro(a),Superior,Superior,C,A,Sim - ?
71.7,Solteiro(a),Médio,Fundamental I,A,B,Sem Cotas
33.4,Casado(a),Fundamental I,Fundamental II,A,B,Ensino Público
32.5,Solteiro(a),Médio,Fundamental II,C,C,Ensino Público
33.5,Solteiro(a),Fundamental II,Pós-graduação,B,C,Sem Cotas
34.7,Casado(a),Nenhuma,Fundamental I,B,F,Sem Cotas
21.3,,,,,,
22.9,Solteiro(a),Nenhuma,Fundamental II,C,D,Ensino Público
49.5,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
41.0,Solteiro(a),Fundamental I,Médio,B,C,Sem Cotas
19.7,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
42.2,,,,,,
18.7,Solteiro(a),Fundamental I,Fundamental I,B,E,Ensino Público
22.7,,,,,,
